u053,view,0.0,1759749508
u018,view,0.0,1759749508
u099,view,0.0,1759749508
u021,view,0.0,1759749508
u053,view,0.0,1759749508
u043,view,0.0,1759749508
u052,view,0.0,1759749508
u021,purchase,5.17,1759749508
u026,view,0.0,1759749508
u074,view,0.0,1759749508
u040,view,0.0,1759749508
u099,purchase,12.29,1759749508
u031,view,0.0,1759749508
u084,view,0.0,1759749508
u007,view,0.0,1759749508
u093,view,0.0,1759749508
u075,view,0.0,1759749508
u042,purchase,83.55,1759749508
u025,view,0.0,1759749508
u071,purchase,56.63,1759749508
u043,view,0.0,1759749508
u011,view,0.0,1759749508
u052,view,0.0,1759749508
u017,view,0.0,1759749508
u037,view,0.0,1759749508
u005,view,0.0,1759749508
u055,view,0.0,1759749508
u082,view,0.0,1759749508
u061,view,0.0,1759749508
u039,purchase,69.22,1759749508
u067,view,0.0,1759749508
u022,view,0.0,1759749508
u074,view,0.0,1759749508
u023,view,0.0,1759749508
u056,view,0.0,1759749508
u020,purchase,69.99,1759749508
u027,view,0.0,1759749508
u074,view,0.0,1759749508
u095,view,0.0,1759749508
u036,view,0.0,1759749508
u035,view,0.0,1759749508
u098,view,0.0,1759749508
u006,view,0.0,1759749508
u098,purchase,31.07,1759749508
u054,view,0.0,1759749508
u046,view,0.0,1759749508
u038,view,0.0,1759749508
u028,view,0.0,1759749508
u071,view,0.0,1759749508
u098,view,0.0,1759749508
u099,view,0.0,1759749508
u059,purchase,134.78,1759749508
u086,view,0.0,1759749508
u098,view,0.0,1759749508
u090,view,0.0,1759749508
u025,view,0.0,1759749508
u020,view,0.0,1759749508
u033,view,0.0,1759749508
u084,purchase,72.7,1759749508
u064,view,0.0,1759749508
u015,view,0.0,1759749508
u003,purchase,124.46,1759749508
u010,view,0.0,1759749508
u042,purchase,118.24,1759749508
u009,view,0.0,1759749508
u018,purchase,29.57,1759749508
u054,view,0.0,1759749508
u005,view,0.0,1759749508
u047,purchase,111.6,1759749508
u012,purchase,136.79,1759749508
u048,view,0.0,1759749508
u046,view,0.0,1759749508
u014,view,0.0,1759749508
u027,view,0.0,1759749508
u045,view,0.0,1759749508
u085,view,0.0,1759749508
u080,view,0.0,1759749508
u053,view,0.0,1759749508
u067,view,0.0,1759749508
u060,view,0.0,1759749508
u010,purchase,99.47,1759749508
u087,view,0.0,1759749508
u023,view,0.0,1759749508
u019,view,0.0,1759749508
u002,view,0.0,1759749508
u006,view,0.0,1759749508
u005,view,0.0,1759749508
u050,view,0.0,1759749508
u046,purchase,63.0,1759749508
u099,view,0.0,1759749508
u075,view,0.0,1759749508
u093,view,0.0,1759749508
u073,view,0.0,1759749508
u074,view,0.0,1759749508
u072,view,0.0,1759749508
u092,view,0.0,1759749508
u004,view,0.0,1759749508
u065,view,0.0,1759749508
